"","V1","V2"
"1","DBN","X1"
"2","School Name","X2"
"3","Total Student Response Rate","X3"
"4","1a. How many of the students in your class(es) feel it is important to come to school every day?","X4"
"5",NA,"X5"
"6",NA,"X6"
"7",NA,"X7"
"8","1b. How many of the students in your class(es) feel it is important to pay attention in class?","X8"
"9",NA,"X9"
"10",NA,"X10"
"11",NA,"X11"
"12","1c. How many of the students in your class(es) think doing homework is important?","X12"
"13",NA,"X13"
"14",NA,"X14"
"15",NA,"X15"
"16","1d. How many of the students in your class(es) try hard to get good grades?","X16"
"17",NA,"X17"
"18",NA,"X18"
"19",NA,"X19"
"20","2a. Think about the class that you attend first on Mondays. In that class, to what extent are you challenged?","X20"
"21",NA,"X21"
"22",NA,"X22"
"23",NA,"X23"
"24","2b. Think about the class that you attend first on Mondays. In that class, to what extent do you have to work hard to do well?","X24"
"25",NA,"X25"
"26",NA,"X26"
"27",NA,"X27"
"28","2c. Think about the class that you attend first on Mondays. In that class, to what extent do your teachers ask difficult questions on tests?","X28"
"29",NA,"X29"
"30",NA,"X30"
"31",NA,"X31"
"32","2d. Think about the class that you attend first on Mondays. In that class, to what extent do your teachers ask difficult questions in class?  ","X32"
"33",NA,"X33"
"34",NA,"X34"
"35",NA,"X35"
"36","3a. Think about the class that you attend first on Mondays. In that class, to what extent do students work quietly and calmly?","X36"
"37",NA,"X37"
"38",NA,"X38"
"39",NA,"X39"
"40","3b. Think about the class that you attend first on Mondays. In that class, to what extent do students listen carefully when the teacher gives directions?","X40"
"41",NA,"X41"
"42",NA,"X42"
"43",NA,"X43"
"44","3c. Think about the class that you attend first on Mondays. In that class, to what extent do students follow the rules in class?","X44"
"45",NA,"X45"
"46",NA,"X46"
"47",NA,"X47"
"48","3d. Think about the class that you attend first on Mondays. In that class, to what extent do students pay attention when they are supposed to?","X48"
"49",NA,"X49"
"50",NA,"X50"
"51",NA,"X51"
"52","3e. Think about the class that you attend first on Mondays. In that class, to what extent do students work when they are supposed to?","X52"
"53",NA,"X53"
"54",NA,"X54"
"55",NA,"X55"
"56","3f. Think about the class that you attend first on Mondays. In that class, to what extent do students behave well even when the teacher isn't watching?","X56"
"57",NA,"X57"
"58",NA,"X58"
"59",NA,"X59"
"60","4a. Think about the class that you attend first on Mondays. How much do you agree with the following statements about that class? I learn a lot from feedback on my work.","X60"
"61",NA,"X61"
"62",NA,"X62"
"63",NA,"X63"
"64","4b. Think about the class that you attend first on Mondays. How much do you agree with the following statements about that class? It's clear what I need to do to get a good grade.   ","X64"
"65",NA,"X65"
"66",NA,"X66"
"67",NA,"X67"
"68","4c. Think about the class that you attend first on Mondays. How much do you agree with the following statements about that class? The work we do in class is good preparation for our class tests.  ","X68"
"69",NA,"X69"
"70",NA,"X70"
"71",NA,"X71"
"72","4d. Think about the class that you attend first on Mondays. How much do you agree with the following statements about that class? The homework assignments help me learn the course material.","X72"
"73",NA,"X73"
"74",NA,"X74"
"75",NA,"X75"
"76","4e. Think about the class that you attend first on Mondays. How much do you agree with the following statements about that class? I know what my teacher wants me to learn in class.","X76"
"77",NA,"X77"
"78",NA,"X78"
"79",NA,"X79"
"80","5a.  How much do you agree with the following statements? In my classes, my teachers expect students to work hard. ","X80"
"81",NA,"X81"
"82",NA,"X82"
"83",NA,"X83"
"84","5b.  How much do you agree with the following statements? In my classes, my teachers expect me to do my best all the time.","X84"
"85",NA,"X85"
"86",NA,"X86"
"87",NA,"X87"
"88","5c.  How much do you agree with the following statements? In my classes, my teachers expect me to learn from my peers.","X88"
"89",NA,"X89"
"90",NA,"X90"
"91",NA,"X91"
"92","5d.  How much do you agree with the following statements? In my classes, my teachers want students to become better thinkers, not just memorize things.","X92"
"93",NA,"X93"
"94",NA,"X94"
"95",NA,"X95"
"96","6a. How much do you agree with the following statements? I feel safe outside around this school.","X96"
"97",NA,"X97"
"98",NA,"X98"
"99",NA,"X99"
"100","6b. How much do you agree with the following statements? I feel safe traveling between home and this school.","X100"
"101",NA,"X101"
"102",NA,"X102"
"103",NA,"X103"
"104","6c. How much do you agree with the following statements? I feel safe in the hallways, bathrooms, locker rooms, and cafeteria of this school.","X104"
"105",NA,"X105"
"106",NA,"X106"
"107",NA,"X107"
"108","6d. How much do you agree with the following statements? I feel safe in my classes at this school.","X108"
"109",NA,"X109"
"110",NA,"X110"
"111",NA,"X111"
"112","7a. How much do you agree with the following statements? Students in this school get to know each other well in classes.","X112"
"113",NA,"X113"
"114",NA,"X114"
"115",NA,"X115"
"116","7b. How much do you agree with the following statements? Students in this school are very interested in getting to know other students.","X116"
"117",NA,"X117"
"118",NA,"X118"
"119",NA,"X119"
"120","7c. How much do you agree with the following statements? Students in this school enjoy doing things with each other during school activities.","X120"
"121",NA,"X121"
"122",NA,"X122"
"123",NA,"X123"
"124","7d. How much do you agree with the following statements? Students in this school get to know each other really well.","X124"
"125",NA,"X125"
"126",NA,"X126"
"127",NA,"X127"
"128","7e. How much do you agree with the following statements? Students in this school enjoy working together on projects in classes.","X128"
"129",NA,"X129"
"130",NA,"X130"
"131",NA,"X131"
"132","8a. How much do you agree with the following statements? The teachers at this school help me catch up if I am behind.","X132"
"133",NA,"X133"
"134",NA,"X134"
"135",NA,"X135"
"136","8b. How much do you agree with the following statements? The teachers at this school are willing to give extra help on schoolwork if I need it.","X136"
"137",NA,"X137"
"138",NA,"X138"
"139",NA,"X139"
"140","8c. How much do you agree with the following statements? The teachers at this school notice if I have trouble learning something.","X140"
"141",NA,"X141"
"142",NA,"X142"
"143",NA,"X143"
"144","8d. How much do you agree with the following statements? The teachers at this school give me specific suggestions about how I can improve my work in class.","X144"
"145",NA,"X145"
"146",NA,"X146"
"147",NA,"X147"
"148","8e. How much do you agree with the following statements? The teachers at this school compliment me if I do good work.","X148"
"149",NA,"X149"
"150",NA,"X150"
"151",NA,"X151"
