"","V1","V2"
"1","DBN","X1"
"2","School Name","X2"
"3","Total Student Response Rate","X3"
"4","1a. Most of the teaching staff at my school believe that all students can do well in school.","X4"
"5",NA,"X5"
"6",NA,"X6"
"7",NA,"X7"
"8","1b. Most of the teaching staff at my school help me approach challenges by suggesting new strategies that I can use. ","X8"
"9",NA,"X9"
"10",NA,"X10"
"11",NA,"X11"
"12","1c. Most of the teaching staff at my school help me reflect on my strengths and learn areas that I can improve in. ","X12"
"13",NA,"X13"
"14",NA,"X14"
"15",NA,"X15"
"16","1d. Most of the teaching staff at my school give me extra help when I need it.","X16"
"17",NA,"X17"
"18",NA,"X18"
"19",NA,"X19"
"20","1e. Most of the teaching staff at my school are teaching me the organizational skills and work habits (like note-taking and keeping track of assignments) that I need to succeed in school.","X20"
"21",NA,"X21"
"22",NA,"X22"
"23",NA,"X23"
"24","1f. Most of the teaching staff at my school make me excited about learning.","X24"
"25",NA,"X25"
"26",NA,"X26"
"27",NA,"X27"
"28","2a. Most adults at my school that I see every day know my name or who I am.","X28"
"29",NA,"X29"
"30",NA,"X30"
"31",NA,"X31"
"32","2b. Most adults at my school care about me.","X32"
"33",NA,"X33"
"34",NA,"X34"
"35",NA,"X35"
"36","2c. Most adults at my school  help keep me on track for college or career.","X36"
"37",NA,"X37"
"38",NA,"X38"
"39",NA,"X39"
"40","3. There is an adult who is helping me plan for my next steps after graduation (career planning, college selection and application process, financial aid process, etc.)","X40"
"41",NA,"X41"
"42",NA,"X42"
"43",NA,"X43"
"44","4a. At my school I need to work hard to get good grades.","X44"
"45",NA,"X45"
"46",NA,"X46"
"47",NA,"X47"
"48","4b. At my school I find out what I missed on tests and assignments to make improvements.","X48"
"49",NA,"X49"
"50",NA,"X50"
"51",NA,"X51"
"52","4c. At my school I am able to identify resources needed to complete a task or project. ","X52"
"53",NA,"X53"
"54",NA,"X54"
"55",NA,"X55"
"56","4d. At my school I take complete, organized, and accurate notes during class.","X56"
"57",NA,"X57"
"58",NA,"X58"
"59",NA,"X59"
"60","4e. At my school I have opportunities to work together with other students in class.","X60"
"61",NA,"X61"
"62",NA,"X62"
"63",NA,"X63"
"64","4f. At my school I can become a better student if I work hard.","X64"
"65",NA,"X65"
"66",NA,"X66"
"67",NA,"X67"
"68","4g. At my school I feel welcome.","X68"
"69",NA,"X69"
"70",NA,"X70"
"71",NA,"X71"
"72","4h. At my school I am safe in my classes.","X72"
"73",NA,"X73"
"74",NA,"X74"
"75",NA,"X75"
"76","4i. At my school I am safe in the hallways, bathrooms, locker rooms, and cafeteria.","X76"
"77",NA,"X77"
"78",NA,"X78"
"79",NA,"X79"
"80","4j. At my school I am safe on school property outside the school building.","X80"
"81",NA,"X81"
"82",NA,"X82"
"83",NA,"X83"
"84","4k. At my school there are clear consequences for breaking the rules.","X84"
"85",NA,"X85"
"86",NA,"X86"
"87",NA,"X87"
"88","4l. At my school there is an adult whom I trust and can go to for help with a problem.","X88"
"89",NA,"X89"
"90",NA,"X90"
"91",NA,"X91"
"92","4m. At my school there is a person or program that helps students resolve conflicts.","X92"
"93",NA,"X93"
"94",NA,"X94"
"95",NA,"X95"
"96","5a. At my school students with disabilities are included in all school activities (lunch, class trips, etc.).","X96"
"97",NA,"X97"
"98",NA,"X98"
"99",NA,"X99"
"100",NA,"X100"
"101","5b. At my school  most adults treat all students with respect.","X101"
"102",NA,"X102"
"103",NA,"X103"
"104",NA,"X104"
"105",NA,"X105"
"106","6a. Most students at my school treat each other with respect.","X106"
"107",NA,"X107"
"108",NA,"X108"
"109",NA,"X109"
"110","6b. Most students at my school treat adults with respect.","X110"
"111",NA,"X111"
"112",NA,"X112"
"113",NA,"X113"
"114","6c. Most students at my school respect students who get good grades.","X114"
"115",NA,"X115"
"116",NA,"X116"
"117",NA,"X117"
"118","7a. My school is kept clean.","X118"
"119",NA,"X119"
"120",NA,"X120"
"121",NA,"X121"
"122","7b. My school offers a wide enough variety of programs, classes and activities to keep me interested in school.","X122"
"123",NA,"X123"
"124",NA,"X124"
"125",NA,"X125"
"126","7c. My school offers opportunities for me to be physically active before, during and after school.","X126"
"127",NA,"X127"
"128",NA,"X128"
"129",NA,"X129"
"130","8a. During this school year, how often have your teachers asked you to be part of a discussion where you had to use evidence from something you read to defend your own opinion or ideas?","X130"
"131",NA,"X131"
"132",NA,"X132"
"133",NA,"X133"
"134","8b. During this school year, how often have your teachers asked you to complete a writing assignment or research project where you had to use evidence from something you read to defend your own opinion or ideas?","X134"
"135",NA,"X135"
"136",NA,"X136"
"137",NA,"X137"
"138","8c. During this school year, how often have your teachers asked you to complete a writing assignment or research project using more than one source of information (such as books, newspapers, technology or other materials)? ","X138"
"139",NA,"X139"
"140",NA,"X140"
"141",NA,"X141"
"142","8d. During this school year, how often have your teachers asked you to complete a math task that required you to explain your thinking?","X142"
"143",NA,"X143"
"144",NA,"X144"
"145",NA,"X145"
"146","8e. During this school year, how often have your teachers asked you to complete a complex or multi-step math problem that took most of the class period to solve?","X146"
"147",NA,"X147"
"148",NA,"X148"
"149",NA,"X149"
"150","8f. During this school year, how often have your teachers asked you to use computers (laptops, tablets, desktops, etc.) during the school day to complete a task or assignment, such as typing up responses, online research, or computer-based exercises?","X150"
"151",NA,"X151"
"152",NA,"X152"
"153",NA,"X153"
"154","9a1. During this school year, I have taken one or more classes in Art.","X154"
"155","9a2. During this school year, I have taken one or more classes in Dance.","X155"
"156","9a3. During this school year, I have taken one or more classes in Music.","X156"
"157","9a4. During this school year, I have taken one or more classes in Theater.","X157"
"158","9b1. During this school year, I was offered but did not take a class in Art.","X158"
"159","9b2. During this school year, I was offered but did not take a class in Dance.","X159"
"160","9b3. During this school year, I was offered but did not take a class in Music.","X160"
"161","9b4. During this school year, I was offered but did not take a class in Theater.","X161"
"162","9c1. During this school year, I was not offered a class in Art.","X162"
