"","V1","V2"
"1","DBN","X1"
"2","School Name","X2"
"3","Total Student Response Rate","X3"
"4","1a. This school offers a wide enough variety of programs, classes and activities to keep me interested in school.","X4"
"5",NA,"X5"
"6",NA,"X6"
"7",NA,"X7"
"8",NA,"X8"
"9","1b. The programs, classes, and activities at this school encourage students to develop talent outside academics.","X9"
"10",NA,"X10"
"11",NA,"X11"
"12",NA,"X12"
"13",NA,"X13"
"14","1c. This school is kept clean.","X14"
"15",NA,"X15"
"16",NA,"X16"
"17",NA,"X17"
"18",NA,"X18"
"19","1d. Most students at this school treat each other with respect.","X19"
"20",NA,"X20"
"21",NA,"X21"
"22",NA,"X22"
"23",NA,"X23"
"24","1e. At this school students with disabilities are included in all school activities (lunch, class trips, etc.).","X24"
"25",NA,"X25"
"26",NA,"X26"
"27",NA,"X27"
"28",NA,"X28"
"29","1f. My teachers use examples of students’ different cultures/backgrounds/families in their lessons to make learning more meaningful for me.","X29"
"30",NA,"X30"
"31",NA,"X31"
"32",NA,"X32"
"33",NA,"X33"
"34","1g. I see people of many races, ethnicities, cultures, and backgrounds represented in the curriculum.","X34"
"35",NA,"X35"
"36",NA,"X36"
"37",NA,"X37"
"38",NA,"X38"
"39","1h. My teachers call on students of different races, ethnicities, cultures, and backgrounds.","X39"
"40",NA,"X40"
"41",NA,"X41"
"42",NA,"X42"
"43",NA,"X43"
"44","1i. I feel that my teachers respect my culture/background.","X44"
"45",NA,"X45"
"46",NA,"X46"
"47",NA,"X47"
"48",NA,"X48"
"49","2a. I learn a lot from feedback on my work.","X49"
"50",NA,"X50"
"51",NA,"X51"
"52",NA,"X52"
"53","2b. It's clear what I need to do to get a good grade.","X53"
"54",NA,"X54"
"55",NA,"X55"
"56",NA,"X56"
"57","2c. The work we do in class is good preparation for our class tests.","X57"
"58",NA,"X58"
"59",NA,"X59"
"60",NA,"X60"
"61","2d. The homework assignments help me learn the course material.","X61"
"62",NA,"X62"
"63",NA,"X63"
"64",NA,"X64"
"65","2e. I know what my teacher wants me to learn in class.","X65"
"66",NA,"X66"
"67",NA,"X67"
"68",NA,"X68"
"69","3a. My teachers help me catch up if I am behind.","X69"
"70",NA,"X70"
"71",NA,"X71"
"72",NA,"X72"
"73","3b. My teachers notice if I have trouble learning something.","X73"
"74",NA,"X74"
"75",NA,"X75"
"76",NA,"X76"
"77","3c. My teachers give me specific suggestions about how I can improve my work in class.","X77"
"78",NA,"X78"
"79",NA,"X79"
"80",NA,"X80"
"81","3d. My teachers explain things a different way if I don't understand something in class.","X81"
"82",NA,"X82"
"83",NA,"X83"
"84",NA,"X84"
"85","3e. My teachers notice when I am upset.","X85"
"86",NA,"X86"
"87",NA,"X87"
"88",NA,"X88"
"89","4a. In how many of your classes are you challenged?","X89"
"90",NA,"X90"
"91",NA,"X91"
"92",NA,"X92"
"93","4b. In how many of your classes do your teachers ask difficult questions on tests?","X93"
"94",NA,"X94"
"95",NA,"X95"
"96",NA,"X96"
"97","4c. In how many of your classes do your teachers ask difficult questions in class?","X97"
"98",NA,"X98"
"99",NA,"X99"
"100",NA,"X100"
"101","4d. In how many of your classes do you work in small groups?","X101"
"102",NA,"X102"
"103",NA,"X103"
"104",NA,"X104"
"105","4e. In how many of your classes do your teachers want students to become better thinkers, not just memorize things?","X105"
"106",NA,"X106"
"107",NA,"X107"
"108",NA,"X108"
"109","5a. I’m learning a lot in my classes at this school to prepare me for the next level or grade.","X109"
"110",NA,"X110"
"111",NA,"X111"
"112",NA,"X112"
"113","5b. There is at least one adult in the school that I can confide in.","X113"
"114",NA,"X114"
"115",NA,"X115"
"116",NA,"X116"
"117","5c. My teachers will always listen to students' ideas.","X117"
"118",NA,"X118"
"119",NA,"X119"
"120",NA,"X120"
"121","5d. My teachers always keep their promises.","X121"
"122",NA,"X122"
"123",NA,"X123"
"124",NA,"X124"
"125","5e. My teachers treat me with respect.","X125"
"126",NA,"X126"
"127",NA,"X127"
"128",NA,"X128"
"129","5f. When my teachers tell me not to do something, I know they have a good reason.","X129"
"130",NA,"X130"
"131",NA,"X131"
"132",NA,"X132"
"133","5g. My classes at this school really make me think.","X133"
"134",NA,"X134"
"135",NA,"X135"
"136",NA,"X136"
"137","5h. Discipline is applied fairly in my school.","X137"
"138",NA,"X138"
"139",NA,"X139"
"140",NA,"X140"
"141","5i. School Safety Agents promote a safe and respectful environment at this school.","X141"
"142",NA,"X142"
"143",NA,"X143"
"144",NA,"X144"
"145","6a. In how many of your classes at this school do students listen carefully when the teacher gives directions?","X145"
"146",NA,"X146"
"147",NA,"X147"
"148",NA,"X148"
"149","6b. In how many of your classes at this school do students follow the rules in class?","X149"
"150",NA,"X150"
"151",NA,"X151"
"152",NA,"X152"
"153","6c. In how many of your classes at this school do students pay attention when they are supposed to?","X153"
"154",NA,"X154"
"155",NA,"X155"
"156",NA,"X156"
"157","6d. In how many of your classes at this school do students work when they are supposed to?","X157"
"158",NA,"X158"
"159",NA,"X159"
"160",NA,"X160"
"161","6e. In how many of your classes at this school do students behave well even when the teacher isn't watching?","X161"
"162",NA,"X162"
"163",NA,"X163"
"164",NA,"X164"
"165","6f. In how many of your classes at this school do students feel it is important to come to school every day?","X165"
"166",NA,"X166"
"167",NA,"X167"
"168",NA,"X168"
"169","6g. In how many of your classes at this school do students feel it is important to pay attention in class?","X169"
"170",NA,"X170"
"171",NA,"X171"
"172",NA,"X172"
"173","6h. In how many of your classes at this school do students think doing homework is important?","X173"
"174",NA,"X174"
"175",NA,"X175"
"176",NA,"X176"
"177","6i. In how many of your classes at this school do students try hard to get good grades?","X177"
"178",NA,"X178"
"179",NA,"X179"
"180",NA,"X180"
"181","7a. I feel safe outside around this school.","X181"
"182",NA,"X182"
"183",NA,"X183"
"184",NA,"X184"
"185","7b. I feel safe traveling between home and this school.","X185"
"186",NA,"X186"
"187",NA,"X187"
"188",NA,"X188"
