"","V1","V2"
"1","DBN","X1"
"2","School Name","X2"
"3","School Type","X3"
"4","Total Student Response Rate","X4"
"5","1a. Most of the teaching staff at my school expect all students to work hard.","X5"
"6",NA,"X6"
"7",NA,"X7"
"8",NA,"X8"
"9","1b. Most of the teaching staff at my school encourage me to keep trying on challenging work.","X9"
"10",NA,"X10"
"11",NA,"X11"
"12",NA,"X12"
"13","1c. Most of the teaching staff at my school give me regular and helpful feedback on my work.","X13"
"14",NA,"X14"
"15",NA,"X15"
"16",NA,"X16"
"17","1d. Most of the teaching staff at my school give me extra help when I need it.","X17"
"18",NA,"X18"
"19",NA,"X19"
"20",NA,"X20"
"21","1e. Most of the teaching staff at my school are teaching me the organizational skills and work habits (like note-taking and keeping track of assignments) that I need to succeed in school.","X21"
"22",NA,"X22"
"23",NA,"X23"
"24",NA,"X24"
"25","1f. Most of the teaching staff at my school make me excited about learning.","X25"
"26",NA,"X26"
"27",NA,"X27"
"28",NA,"X28"
"29","1g. Most of the teaching staff at my school expect me to continue my education after high school.","X29"
"30",NA,"X30"
"31",NA,"X31"
"32",NA,"X32"
"33","2a.  Most adults at my school that I see every day know my name or who I am.","X33"
"34",NA,"X34"
"35",NA,"X35"
"36",NA,"X36"
"37","2b.  Most adults at my school care about me.","X37"
"38",NA,"X38"
"39",NA,"X39"
"40",NA,"X40"
"41","2c.  Most adults at my school help keep me on track to be promoted to the next grade and to graduate.","X41"
"42",NA,"X42"
"43",NA,"X43"
"44",NA,"X44"
"45","2d.  Most adults at my school help keep me on track for college or career.","X45"
"46",NA,"X46"
"47",NA,"X47"
"48",NA,"X48"
"49","3. If you are a student in grades 9-12, ANSWER this question.  If you are a student in grades 6-8, SKIP this question.  
There is an adult who is helping me plan for my next steps after graduation (career planning, college selection and application process, financial aid process, etc.)","X49"
"50",NA,"X50"
"51",NA,"X51"
"52",NA,"X52"
"53","4a. At my school…
 I need to work hard to get good grades.","X53"
"54",NA,"X54"
"55",NA,"X55"
"56",NA,"X56"
"57","4b. At my school…
I keep trying when school work is challenging.","X57"
"58",NA,"X58"
"59",NA,"X59"
"60",NA,"X60"
"61","4c. At my school…
I can do well if I put my mind to it.","X61"
"62",NA,"X62"
"63",NA,"X63"
"64",NA,"X64"
"65","4d. At my school…
I can become a better student if I work hard.","X65"
"66",NA,"X66"
"67",NA,"X67"
"68",NA,"X68"
"69","4e. At my school…
I feel welcome.","X69"
"70",NA,"X70"
"71",NA,"X71"
"72",NA,"X72"
"73","4f. At my school…
I am safe in my classes.","X73"
"74",NA,"X74"
"75",NA,"X75"
"76",NA,"X76"
"77","4g. At my school…
I am safe in the hallways, bathrooms, locker rooms, and cafeteria.","X77"
"78",NA,"X78"
"79",NA,"X79"
"80",NA,"X80"
"81","4h. At my school…
I am safe on school property outside the school building.","X81"
"82",NA,"X82"
"83",NA,"X83"
"84",NA,"X84"
"85","4i. At my school…
there are clear consequences for breaking the rules.","X85"
"86",NA,"X86"
"87",NA,"X87"
"88",NA,"X88"
"89","4j. At my school…
there is an adult whom I trust and can go to for help with a problem.","X89"
"90",NA,"X90"
"91",NA,"X91"
"92",NA,"X92"
"93","4k. At my school…
there is a person or program that helps students resolve conflicts.","X93"
"94",NA,"X94"
"95",NA,"X95"
"96",NA,"X96"
"97","5a.  At my school…
students with disabilities are included in all school activities (lunch, class trips, etc.).","X97"
"98",NA,"X98"
"99",NA,"X99"
"100",NA,"X100"
"101",NA,"X101"
"102","5b.  At my school…
most adults treat all students with respect.","X102"
"103",NA,"X103"
"104",NA,"X104"
"105",NA,"X105"
"106",NA,"X106"
"107","6a. Most students at my school…
treat each other with respect.","X107"
"108",NA,"X108"
"109",NA,"X109"
"110",NA,"X110"
"111","6b. Most students at my school…
treat adults with respect.","X111"
"112",NA,"X112"
"113",NA,"X113"
"114",NA,"X114"
"115","6c. Most students at my school…
respect students who get good grades.","X115"
"116",NA,"X116"
"117",NA,"X117"
"118",NA,"X118"
"119","7a.  My school…
is kept clean.","X119"
"120",NA,"X120"
"121",NA,"X121"
"122",NA,"X122"
"123","7b.  My school…
offers a wide enough variety of programs, classes and activities to keep me interested in school.","X123"
"124",NA,"X124"
"125",NA,"X125"
"126",NA,"X126"
"127","7c.  My school…
offers opportunities for me to be physically active before, during and after school.","X127"
"128",NA,"X128"
"129",NA,"X129"
"130",NA,"X130"
"131","8f. During this school year, how often have your teachers asked you to…
use computers (laptops, tablets, desktops, etc.) during the school day to complete a task or assignment, such as typing up responses, online research or computer-based exercises?","X131"
"132",NA,"X132"
"133",NA,"X133"
"134",NA,"X134"
"135","9a. This question is about activities that you do during class time. 
(Please mark all that apply.)
During this school year, I have taken one or more classes in…","X135"
"136",NA,"X136"
"137",NA,"X137"
"138",NA,"X138"
"139",NA,"X139"
"140",NA,"X140"
"141","9b. This question is about activities that you do during class time. 
(Please mark all that apply.)
During this school year, I was offered but did NOT take a class in...","X141"
"142",NA,"X142"
"143",NA,"X143"
"144",NA,"X144"
"145",NA,"X145"
"146",NA,"X146"
"147","9c. This question is about activities that you do during class time. 
(Please mark all that apply.)
During this school year, I was NOT offered a class in…","X147"
"148",NA,"X148"
"149",NA,"X149"
"150",NA,"X150"
"151",NA,"X151"
"152",NA,"X152"
"153","10a. This question is about activities that you do outside of class time. 
(Please mark all that apply.)
During this school year, I participated in the following activities before or after school or during free periods…","X153"
"154",NA,"X154"
"155",NA,"X155"
"156",NA,"X156"
"157",NA,"X157"
"158","10b. This question is about activities that you do outside of class time. 
(Please mark all that apply.)
During this school year, the following activities were offered before or after school or during free periods but I did NOT participate…","X158"
"159",NA,"X159"
"160",NA,"X160"
"161",NA,"X161"
"162",NA,"X162"
"163","10c. This question is about activities that you do outside of class time. 
(Please mark all that apply.)
During this school year, the following activities were NOT offered to me before or after school or during free periods…","X163"
"164",NA,"X164"
"165",NA,"X165"
"166",NA,"X166"
